"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Anthony Carter",656,181,12647,1275,3149,128,504,1147,2645,441,621,251,1102,1353,2432,628,121,997,1152,3119
"Anthony Cook",141,25,1702,192,432,0,7,192,425,96,189,192,292,484,38,46,105,78,162,480
"Anthony Davis",632,625,21738,5652,10909,303,1002,5349,9907,3532,4440,1608,4888,6496,1486,860,1470,1236,1496,15139
"Anthony Edwards",197,180,6717,1528,3475,534,1515,994,1960,654,843,156,846,1002,727,277,114,529,428,4244
"Anthony Frederick",147,29,1640,291,663,6,22,285,641,130,186,137,143,280,135,76,45,132,200,718
"Anthony Gill",106,8,1035,135,241,23,67,112,174,75,92,68,119,187,55,20,20,31,130,368
"Anthony Goldwire",385,104,6846,784,1938,307,783,477,1155,393,497,95,420,515,1049,223,11,364,535,2268
"Anthony Grundy",12,0,108,19,38,5,15,14,23,9,14,1,16,17,9,7,0,9,14,52
"Anthony Johnson",1038,324,19532,2121,5145,402,1115,1719,4030,814,1092,368,1323,1691,2887,692,114,1092,1643,5458
"Anthony Jones",262,8,2758,396,996,26,85,370,911,175,231,141,205,346,209,138,60,150,275,993
"Anthony Lamb",67,6,1227,155,335,80,214,75,121,45,57,60,148,208,94,28,16,61,130,435
"Anthony Mason",882,559,30605,3583,7033,2,12,3581,7021,2488,3511,1912,5367,7279,2963,648,244,1549,2353,9656
"Anthony Miller",185,15,1648,198,388,2,8,196,380,114,198,185,305,490,66,58,26,91,245,512
"Anthony Morrow",654,150,13377,2118,4777,864,2113,1254,2664,662,750,332,944,1276,532,354,78,394,984,5762
"Anthony Parker",494,423,13752,1661,3744,596,1474,1065,2270,560,705,241,1333,1574,1129,439,85,495,792,4478
"Anthony Peeler",865,328,21657,3291,7675,993,2570,2298,5105,911,1142,601,1658,2259,2093,836,144,1070,1767,8486
"Anthony Pullard",8,0,37,8,18,0,0,8,18,1,3,2,6,8,2,2,2,5,5,17
"Anthony Randolph",292,46,4431,800,1758,21,87,779,1671,473,647,378,860,1238,220,172,248,351,518,2094
"Anthony Roberson",94,1,867,146,375,78,227,68,148,14,15,14,57,71,55,33,2,32,69,384
"Anthony Roberts",213,NA,3867,679,1650,NA,NA,679,1649,300,429,333,504,837,265,89,13,256,501,1658
"Anthony Taylor",21,7,368,60,151,0,2,60,149,24,32,11,23,34,43,22,5,20,37,144
"Anthony Tolliver",907,158,17928,1885,4562,1070,2907,815,1655,832,1080,714,2412,3126,838,347,275,593,1510,5672
"Anthony Tucker",62,13,982,96,210,0,1,96,209,51,83,44,126,170,68,46,11,56,129,243
"Antoine Carr",1064,172,21507,4019,8007,6,53,4013,7954,2081,2662,1266,2440,3706,1205,391,993,1312,3310,10125
"Antoine Rigaudeau",11,0,91,8,35,1,5,7,30,0,0,4,4,8,6,3,0,6,11,17
"Antoine Walker",970,784,34486,6666,16087,1496,4605,5170,11482,2292,3676,2076,5510,7586,3435,1174,527,2757,2733,17120
"Antoine Wright",353,106,6946,753,1828,187,620,566,1208,271,401,197,631,828,375,167,93,277,725,1964
"Antonio Anderson",1,0,15,1,3,0,0,1,3,0,0,1,0,1,0,0,0,1,1,2
"Antonio Blakeney",76,3,1143,219,539,51,143,168,396,80,115,11,128,139,62,19,10,46,60,569
"Antonio Burks",81,1,789,79,204,4,17,75,187,24,42,5,44,49,104,33,1,48,70,186
"Antonio Daniels",946,229,20692,2369,5345,381,1214,1988,4131,1804,2273,224,1466,1690,3111,590,86,990,972,6923
"Antonio Davis",1027,642,29594,3535,7970,2,24,3533,7946,2893,3979,2620,5014,7634,1175,490,964,1511,2882,9965
"Antonio Harvey",242,47,2775,313,789,1,5,312,784,130,263,224,409,633,73,81,177,152,331,757
"Antonio Lang",153,1,1433,122,272,0,8,122,264,91,126,80,135,215,52,59,47,91,215,335
"Antonio McDyess",1057,665,28980,5172,10429,7,60,5165,10369,2166,3247,2548,5347,7895,1336,819,1126,1680,3194,12517
